event_name,description,link,when,where,deadline,page_title,meta_description,detailed_deadline,review_time,conference_rank,is_workshop,minimum_pages,website_link,categories
ICAEM 2025,"2025 2nd International Conference on Arts, Education and Management(ICAEM 2025)",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181828&copyownerid=182680,"Feb 14, 2025 - Feb 16, 2025","Kuala Lumpur, Malaysia",16/02/25,"ICAEM 2025 : 2025 2nd International Conference on Arts, Education and Management(ICAEM 2025)","ICAEM 2025 : 2025 2nd International Conference on Arts, Education and Management(ICAEM 2025)",N/A,N/A,N/A,True,N/A,https://ais.cn/u/byEzey,"['arts', 'education', 'management', 'psychology']"
IWQoS 2025,The 33rd IEEE/ACM International Symposium on Quality of Service,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185029&copyownerid=190725,"Jul 2, 2025 - Jul 4, 2025","Gold Coast, Australia",16/02/25,IWQoS 2025 : The 33rd IEEE/ACM International Symposium on Quality of Service,IWQoS 2025 : The 33rd IEEE/ACM International Symposium on Quality of Service,9 February 2025,N/A,N/A,True,N/A,https://iwqos2025.ieee-iwqos.org/,"['computer science', 'qos']"
EI/Scopus-CIBDA 2025,2025 6th International Conference on Computer Information and Big Data Applications-EI/Scopus,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=185256&copyownerid=182680,"Mar 14, 2025 - Mar 16, 2025","Wuhan, China",17/02/25,EI/Scopus-CIBDA 2025 : 2025 6th International Conference on Computer Information and Big Data Applications-EI/Scopus,EI/Scopus-CIBDA 2025 : 2025 6th International Conference on Computer Information and Big Data Applications-EI/Scopus,N/A,N/A,N/A,False,N/A,https://ais.cn/u/QFvuAn,"['computer science', 'information science', 'big data', 'artificial intelligence']"
ICTS4eHealth 2025,5th IEEE International Conference on ICT Solutions for eHealth,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=183277&copyownerid=71031,"Jul 2, 2025 - Jul 5, 2025","Bologna, Italy",17/02/25,ICTS4eHealth 2025 : 5th IEEE International Conference on ICT Solutions for eHealth,ICTS4eHealth 2025 : 5th IEEE International Conference on ICT Solutions for eHealth,"FEBRUARY 17, 2025",N/A,N/A,True,N/A,https://www.icts4ehealth.icar.cnr.it/index.html,"['computer science', 'artificial intelligence', 'internet of things', 'cloud computing']"
IEEE-EI/Scopus-ASENS 2025,"2025 2nd International Conference on Algorithms, Software Engineering and Network Security-IEEE Xplore/EI/Scopus",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=181817&copyownerid=182680,"Mar 21, 2025 - Mar 23, 2025","Guangzhou,China",17/02/25,"IEEE-EI/Scopus-ASENS 2025 : 2025 2nd International Conference on Algorithms, Software Engineering and Network Security-IEEE Xplore/EI/Scopus","IEEE-EI/Scopus-ASENS 2025 : 2025 2nd International Conference on Algorithms, Software Engineering and Network Security-IEEE Xplore/EI/Scopus","February 17, 2025",N/A,N/A,False,N/A,https://ais.cn/u/iUvuI3,"['algorithms', 'software engineering', 'network security', 'cryptography']"
CRBL 2025,5th International Conference on Cryptography and Blockchain,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180865&copyownerid=171656,"Jun 28, 2025 - Jun 29, 2025","Copenhagen, Denmark",18/02/25,CRBL 2025 : 5th International Conference on Cryptography and Blockchain,CRBL 2025 : 5th International Conference on Cryptography and Blockchain,N/A,N/A,N/A,True,N/A,https://comit2025.org/crbl/index,"['software engineering & secu', 'information technology managem', 'dbworld: database management s', 'computer science & information']"
EDUR 2025,3rd International Conference on Educational Research,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180611&copyownerid=171656,"May 30, 2025 - May 31, 2025",Virtual Conference,18/02/25,EDUR  2025 : 3rd International Conference on Educational Research,EDUR  2025 : 3rd International Conference on Educational Research,N/A,N/A,N/A,False,N/A,https://edur2025.org/index,"['interactive learning', 'education', 'social theory', 'ubiquitous computing']"
EDUPT 2025,"4th International Conference on Education, Pedagogy and Technology",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180612&copyownerid=171656,"Jun 28, 2025 - Jun 29, 2025","Copenhagen, Denmark",18/02/25,"EDUPT 2025 : 4th International Conference on Education, Pedagogy and Technology","EDUPT 2025 : 4th International Conference on Education, Pedagogy and Technology",N/A,N/A,N/A,False,N/A,https://comit2025.org/edupt/index,"['knowledge management', 'education', 'wireless sensor networks', 'blockchain']"
COMIT 2025,9th International Conference on Computer Science and Information Technology,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=180917&copyownerid=171656,"Jun 28, 2025 - Jun 29, 2025","Copenhagen, Denmark",18/02/25,COMIT  2025 : 9th International Conference on Computer Science and Information Technology,COMIT  2025 : 9th International Conference on Computer Science and Information Technology,N/A,N/A,N/A,False,N/A,https://comit2025.org/,"['computer science', 'information technology', 'cloud computing', 'deep learning']"
CIOS 2025,"3rd International Conference on Cloud, IoT and Security",http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=182606&copyownerid=170233,"May 30, 2025 - May 31, 2025",Virtual Conference,18/02/25,"CIOS  2025 : 3rd International Conference on Cloud, IoT and Security","CIOS  2025 : 3rd International Conference on Cloud, IoT and Security",N/A,N/A,N/A,True,N/A,https://cios2025.org/index,"['internet of things', 'security', 'cloud computing', 'blockchain']"
